KEY,en-US,fr-FR,WorkaroundLocalization - NE PAS SUPPRIMER CE TEXTE
_A_CODE_COULEUR_LOCA,"En orange et gris : Placeholder à compléter / pas encore en jeu
En rouge : A supprimer (vérifier avant)

S'il vous plait, pensez à mettre tous les textes que vous ajoutez ou modifiez en orange","En orange et gris : Placeholder à compléter / pas encore en jeu
En rouge : A supprimer (vérifier avant)

S'il vous plait, pensez à mettre tous les textes que vous ajoutez ou modifiez en orange",
_CARAC_SPE,"éèàáâ&
À        Á        Â        Ã        Ä        Å        Æ        Ç        È        É        Ê        Ë        Ì        Í        Î        Ï        Ð        Ñ        Ò        Ó        Ô        Õ        Ö        Ø        Œ        Š        þ        Ù        Ú        Û        Ü        Ý        Ÿ
à        á        â        ã        ä        å        æ        ç        è        é        ê        ë        ì        í        î        ï        ð        ñ        ò        ó        ô        õ        ö        ø        œ        š        Þ        ù        ú        û        ü        ý        ÿ
¢        ß        ¥        £        ™        ©        ®        ª        ×        ÷        ±        ²        ³        ¼        ½        ¾        µ        ¿        ¶        ·        ¸        º        °        ¯        §        …        ¤        ¦        ≠        ¬        ˆ        ¨        ‰","éèàáâ&
À        Á        Â        Ã        Ä        Å        Æ        Ç        È        É        Ê        Ë        Ì        Í        Î        Ï        Ð        Ñ        Ò        Ó        Ô        Õ        Ö        Ø        Œ        Š        þ        Ù        Ú        Û        Ü        Ý        Ÿ
à        á        â        ã        ä        å        æ        ç        è        é        ê        ë        ì        í        î        ï        ð        ñ        ò        ó        ô        õ        ö        ø        œ        š        Þ        ù        ú        û        ü        ý        ÿ
¢        ß        ¥        £        ™        ©        ®        ª        ×        ÷        ±        ²        ³        ¼        ½        ¾        µ        ¿        ¶        ·        ¸        º        °        ¯        §        …        ¤        ¦        ≠        ¬        ˆ        ¨        ‰",
_LOREM_IPSUM,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas elit lorem, tristique ac enim sit amet.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas elit lorem, tristique ac enim sit amet.",
_LOREM_IPSUM_SHORT,Lorem ipsum,Lorem ipsum,
FEATURE_DISABLED_DESTINY_ADV_FCT,Recursos avançados de Destiny não estarão disponíveis no início do Acesso Antecipado.,Les fonctionnalités avancées des Destinés ne seront pas disponibles au début de l'Early Access,
AB_GE_AMELIORATION_CHOICE_TITLE,Várias opções de melhoria,Différents choix d'amélioration,
AN_AGALMA_LORE,"O Ateliê Agalma é uma pequena loja que esculpe e vende estátuas com a efígie de deuses e deusas. Os residentes locais podem comprar e oferecer esses produtos nos diversos templos para atrair o favor das divindades.",L'Atelier d'Agalma est une petite échoppe qui sculpte et vend de statues à l'effigie de dieux et déesses. Les habitants du quartier peuvent venir acheter et offrir ces biens dans les différents temples pour s'attirer les faveurs des divinités,
AN_AGALMA_NAME,Ateliê Agalma,Atelier d'Agalma,
AN_AMPHITHEATRE_LORE,"O Theatrum é uma vasta construção que demonstra a habilidade arquitetônica da sua cidade. Os cidadãos adorarão passar tempo lá assistindo a peças de teatro ao vivo, encenando a vida dos deuses com elaborados trajes e máscaras.","Le Theatrum est une très vaste construction, démontrant les prouesses architecturales de votre ville. Les citoyens adoreront y passer du temps pour voir du théâtre vivant, mettant en scène la vie des dieux avec des costumes et masques travaillés.",
AN_AMPHITHEATRE_NAME,Theatrum,Theatrum,
AN_ARCHIVES_LORE,"O Archivum está localizado em um pequeno edifício. Ele oferece acesso à elaboração e arquivamento de documentos, o que pode ser útil para evitar repetir os erros do passado.","Les Archivum se trouvent dans une petite bâtisse. Elle donne accès à la rédaction et classement de documents, qui pourraient s'avérer utile pour ne pas répéter les erreurs du passé.",
AN_ARCHIVES_NAME,Archivum,Archivum,
